datetime,color,feedback
2019-06-13 PM,green,"Good pacing and coverage of the material."
2019-06-13 PM,green,"Very informative."
2019-06-13 PM,green,"Coffee breaks."
2019-06-13 PM,green,"Good pace."
2019-06-13 PM,green,"Very clear.  Detailed on explianing each step."
2019-06-13 PM,green,"Very helpful class."
2019-06-13 PM,green,"Good explanations."
2019-06-13 PM,green,"Systematic teaching."
2019-06-13 PM,green,"Easy to follow and understand."
2019-06-13 PM,green,"Very informative.  Definitely taught me the fundamentals well."
2019-06-13 PM,green,"Good pace.  Clear explanation.  Like the structure."
2019-06-13 PM,green,"Easy to follow."
2019-06-13 PM,green,"I liked the challenges."
2019-06-13 PM,green,"Liked learning about data types and classes."
2019-06-13 PM,green,"Structured."
2019-06-13 PM,green,"Syntax was explained really well.  Speed was good.  Instructor was well informed."
2019-06-13 PM,red,"A little repetitive.  The pace could be faster."
2019-06-13 PM,red,"No real complaints; maybe a tad repetitive, but some people really need that for the information to truly sink in."
2019-06-13 PM,red,"It was hard for a beginner to follow along."
2019-06-13 PM,red,"Maybe summary at the end of each section?"
2019-06-13 PM,red,"I feel like I didn't learn a lot yet."
2019-06-13 PM,red,"Speak up; the back can't hear."
2019-06-13 PM,red,"Sometimes pace was too fast.  Sometimes couldn't see typing in the command line."
2019-06-13 PM,red,"I got a little confused on the section about dataframes.  I feel like I missed some essential context that I only understood at the end."
2019-06-13 PM,red,"Good pace, however, give more time in between steps to allow people who have never coded to get through the step as well."
2019-06-13 PM,red,"Wish we were told ways of applying the knowledge we learned to increase interest in the subject."
2019-06-13 PM,red,"Nothing negative to say."
2019-06-13 PM,red,"Can teach a little bit slower for beginners."
2019-06-13 PM,red,"A little bit faster."
2019-06-13 PM,red,"Fast paced."
2019-06-13 PM,red,"Went too fast when typing on screen."
2019-06-13 PM,red,"Was sometimes hard to keep up with code on screen since it was too zoomed in the text disappeared very quickly."
