datetime,day,color,exclude,feedback
6/13/19 12:00,day1_AM,green,,Good to learn that you can do loops in the command line; didn't know that before.
6/13/19 12:00,day1_AM,green,,For-loops were explained very well.  Section was interesting.
6/13/19 12:00,day1_AM,green,,Loop was very interesting.
6/13/19 12:00,day1_AM,green,,The challenges.  Exercises are engaging.
6/13/19 12:00,day1_AM,green,,Having helpers around is very important otherwise I'd definitely be lost.
6/13/19 12:00,day1_AM,green,,Easy to follow.  Loved seeing commands on the screen.  Exercises were helpful.  Shorcuts were great to learn.
6/13/19 12:00,day1_AM,green,,It was helpful to type out all the commands with the instructor to get a better idea of how the program works.
6/13/19 12:00,day1_AM,green,,Great explanations of functionality of different operators.
6/13/19 12:00,day1_AM,green,,Learning basic Linux commands in a formal setting was very helpful and will save time in future.
6/13/19 12:00,day1_AM,green,,I liked how everyone could follow along.  Other people's questions helped me too.
6/13/19 12:00,day1_AM,green,,Explained very clearly.  Got to try it on your own.
6/13/19 12:00,day1_AM,green,,Step by step instruction.
6/13/19 12:00,day1_AM,green,,I like the explanations of what each command is and what is is doing / what it means.
6/13/19 12:00,day1_AM,green,,Interactive activities have been very helpful.  I especially feel like the pipe examples were very clear.
6/13/19 12:00,day1_AM,green,,"Liked the teaching style using exercises, especially using files in different places to practice navigation."
6/13/19 12:00,day1_AM,green,,Easy to follow.  Content is simple and straight forward.  I can actually learn useful things in workshop (sic).
6/13/19 12:00,day1_AM,green,,I liked learning using the shell commands because I use the shell a lot and didn't know some shortcuts i.e. ctrl+a.
6/13/19 12:00,day1_AM,green,,"Learning how to use unix to navigate and create files.  Using word count and sort, head, tail, functions to display data in a convenient way.  Liked the exercises to check I know what I am diong."
6/13/19 12:00,day1_AM,green,,I liked following along and watching someone else do actual code.  Access to the lessons and problems are helpful.
6/13/19 12:00,day1_AM,green,,The exercises are a very useful / effective way to learn the commands.
6/13/19 12:00,day1_AM,green,,I am really enjoying this workshop as I never learned coding before so anything is better than nothing.  However from a learning perspective I really like the green and red post-it idea as I think that was pretty clever.
6/13/19 12:00,day1_AM,green,,Great crash course on Unix command line.  It was a good revision for those who are familiar with the content.
